Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate,Fetched From
42,afternic.com,Computers Electronics and Technology > Web Hosting and Domain Names,2,00:01:34,2.01,72.09%,Computers Electronics and Technology
43,hennge.com,Computers Electronics and Technology > Web Hosting and Domain Names,4,00:02:54,2.26,51.38%,Computers Electronics and Technology
44,hello.porn,Computers Electronics and Technology > Web Hosting and Domain Names,7,00:04:02,6.5,44.89%,Computers Electronics and Technology
45,myprofessionalmail.com,Computers Electronics and Technology > Web Hosting and Domain Names,=,00:09:15,13.7,17.91%,Computers Electronics and Technology
46,eu.org,Computers Electronics and Technology > Web Hosting and Domain Names,3,00:04:27,6.23,45.35%,Computers Electronics and Technology
47,aiseo.ai,Computers Electronics and Technology > Web Hosting and Domain Names,10,00:01:10,1.81,65.69%,Computers Electronics and Technology
48,ionos.com,Computers Electronics and Technology > Web Hosting and Domain Names,2,00:05:29,6.82,33.45%,Computers Electronics and Technology
49,alpha-mail.ne.jp,Computers Electronics and Technology > Web Hosting and Domain Names,3,00:10:36,7.43,20.01%,Computers Electronics and Technology
50,gauts-lwt.com,Computers Electronics and Technology > Web Hosting and Domain Names,1,00:00:12,1.36,63.72%,Computers Electronics and Technology
1,auction.co.kr,Ecommerce & Shopping > Auctions,=,00:02:59,6.1,25.16%,Ecommerce & Shopping
2,ecount.com,Ecommerce & Shopping > Auctions,1,00:12:52,12.87,18.19%,Ecommerce & Shopping
3,mercadolibre.com,Ecommerce & Shopping > Auctions,1,00:02:19,3.6,37.55%,Ecommerce & Shopping
4,trademe.co.nz,Ecommerce & Shopping > Auctions,=,00:07:16,11.85,26.84%,Ecommerce & Shopping
5,hibid.com,Ecommerce & Shopping > Auctions,=,00:10:23,10.4,28.73%,Ecommerce & Shopping
6,ricardo.ch,Ecommerce & Shopping > Auctions,=,00:06:55,8.78,27.62%,Ecommerce & Shopping
7,tradera.com,Ecommerce & Shopping > Auctions,=,00:06:28,9.34,32.78%,Ecommerce & Shopping
8,njuskalo.hr,Ecommerce & Shopping > Auctions,1,00:08:13,8.88,34.5%,Ecommerce & Shopping
9,allegro.cz,Ecommerce & Shopping > Auctions,1,00:02:07,3.62,20.72%,Ecommerce & Shopping
10,shopgoodwill.com,Ecommerce & Shopping > Auctions,=,00:10:23,12.59,26.71%,Ecommerce & Shopping
11,az24.vn,Ecommerce & Shopping > Auctions,=,00:00:54,2.44,12.35%,Ecommerce & Shopping
12,buyee.jp,Ecommerce & Shopping > Auctions,=,00:06:56,15.8,28.39%,Ecommerce & Shopping
13,estatesales.net,Ecommerce & Shopping > Auctions,=,00:06:04,23.55,32.26%,Ecommerce & Shopping
14,1stdibs.com,Ecommerce & Shopping > Auctions,=,00:02:53,3.55,42.27%,Ecommerce & Shopping
15,carousell.com.hk,Ecommerce & Shopping > Auctions,=,00:08:58,8.04,36.36%,Ecommerce & Shopping
16,invaluable.com,Ecommerce & Shopping > Auctions,=,00:02:44,3.85,49.07%,Ecommerce & Shopping
17,liveauctioneers.com,Ecommerce & Shopping > Auctions,1,00:04:44,7.25,43.63%,Ecommerce & Shopping
18,huutokaupat.com,Ecommerce & Shopping > Auctions,1,00:07:37,7.14,31.69%,Ecommerce & Shopping
19,ebay.pl,Ecommerce & Shopping > Auctions,2,00:02:46,5.16,25.14%,Ecommerce & Shopping
20,bidfta.com,Ecommerce & Shopping > Auctions,5,00:11:35,11.93,29.72%,Ecommerce & Shopping
21,auctionet.com,Ecommerce & Shopping > Auctions,1,00:04:05,6.13,40.24%,Ecommerce & Shopping
22,terk.nl,Ecommerce & Shopping > Auctions,=,00:02:51,6.14,32.11%,Ecommerce & Shopping
23,naturabuy.fr,Ecommerce & Shopping > Auctions,=,00:08:40,8.33,29.46%,Ecommerce & Shopping
24,troostwijkauctions.com,Ecommerce & Shopping > Auctions,4,00:08:12,17.26,32.41%,Ecommerce & Shopping
25,proxibid.com,Ecommerce & Shopping > Auctions,4,00:06:47,9.61,29.7%,Ecommerce & Shopping
26,interencheres.com,Ecommerce & Shopping > Auctions,=,00:11:12,15.05,26.95%,Ecommerce & Shopping
27,picclick.co.uk,Ecommerce & Shopping > Auctions,3,00:01:55,4.19,39.96%,Ecommerce & Shopping
28,delcampe.net,Ecommerce & Shopping > Auctions,1,00:09:07,10.29,28.59%,Ecommerce & Shopping
29,ebay.ie,Ecommerce & Shopping > Auctions,=,00:03:23,4.71,38.3%,Ecommerce & Shopping
30,vatera.hu,Ecommerce & Shopping > Auctions,1,00:06:05,6.82,36.87%,Ecommerce & Shopping
31,payngo.co.il,Ecommerce & Shopping > Auctions,4,00:02:30,3.66,45.61%,Ecommerce & Shopping
32,chitadelivery-cx.com,Ecommerce & Shopping > Auctions,10,00:02:49,2.16,56.41%,Ecommerce & Shopping
33,limundo.com,Ecommerce & Shopping > Auctions,3,00:05:50,9.65,20.46%,Ecommerce & Shopping
34,kupindo.com,Ecommerce & Shopping > Auctions,2,00:02:14,5.37,21.5%,Ecommerce & Shopping
35,ebay.be,Ecommerce & Shopping > Auctions,1,00:03:35,5.11,41.97%,Ecommerce & Shopping
36,johnpyeauctions.co.uk,Ecommerce & Shopping > Auctions,7,00:10:37,16.18,19.94%,Ecommerce & Shopping
37,ha.com,Ecommerce & Shopping > Auctions,=,00:04:22,5.98,46.9%,Ecommerce & Shopping
38,huuto.net,Ecommerce & Shopping > Auctions,5,00:05:47,14.09,19.48%,Ecommerce & Shopping
39,sothebys.com,Ecommerce & Shopping > Auctions,2,00:01:54,3.29,54.29%,Ecommerce & Shopping
40,picclick.fr,Ecommerce & Shopping > Auctions,6,00:02:00,3.14,41.02%,Ecommerce & Shopping
41,jumbo.ch,Ecommerce & Shopping > Auctions,2,00:03:47,4.6,42.09%,Ecommerce & Shopping
42,ebay.nl,Ecommerce & Shopping > Auctions,2,00:03:53,5.47,35.84%,Ecommerce & Shopping
43,easyliveauction.com,Ecommerce & Shopping > Auctions,3,00:07:47,13.19,34.21%,Ecommerce & Shopping
44,fromjapan.co.jp,Ecommerce & Shopping > Auctions,6,00:04:16,6.79,42.37%,Ecommerce & Shopping
45,osta.ee,Ecommerce & Shopping > Auctions,4,00:09:54,11.52,25.53%,Ecommerce & Shopping
46,ebay.ch,Ecommerce & Shopping > Auctions,4,00:03:33,4.12,39.02%,Ecommerce & Shopping
47,picclick.it,Ecommerce & Shopping > Auctions,4,00:01:40,2.98,40.54%,Ecommerce & Shopping
48,sodresantoro.com.br,Ecommerce & Shopping > Auctions,3,00:08:43,6.89,25.83%,Ecommerce & Shopping
49,auctionzip.com,Ecommerce & Shopping > Auctions,12,00:05:54,13.01,31.21%,Ecommerce & Shopping
50,mygls.be,Ecommerce & Shopping > Auctions,4,00:03:27,3.14,58.73%,Ecommerce & Shopping
1,avito.ru,Ecommerce & Shopping > Classifieds,=,00:11:22,12.8,24.79%,Ecommerce & Shopping
2,craigslist.org,Ecommerce & Shopping > Classifieds,=,00:07:02,29.6,24.34%,Ecommerce & Shopping
3,leboncoin.fr,Ecommerce & Shopping > Classifieds,=,00:09:45,9.63,25.88%,Ecommerce & Shopping
4,sahibinden.com,Ecommerce & Shopping > Classifieds,=,00:10:08,18.82,24.72%,Ecommerce & Shopping
5,subito.it,Ecommerce & Shopping > Classifieds,=,00:07:36,8.26,28.27%,Ecommerce & Shopping
6,olx.ua,Ecommerce & Shopping > Classifieds,=,00:07:32,10.85,22.68%,Ecommerce & Shopping
7,otomoto.pl,Ecommerce & Shopping > Classifieds,=,00:07:24,7.58,27.26%,Ecommerce & Shopping
8,finn.no,Ecommerce & Shopping > Classifieds,=,00:09:11,27.77,21.07%,Ecommerce & Shopping
9,olx.in,Ecommerce & Shopping > Classifieds,=,00:05:39,7.58,34.36%,Ecommerce & Shopping
10,kijiji.ca,Ecommerce & Shopping > Classifieds,=,00:06:38,6.96,28.83%,Ecommerce & Shopping
11,olx.ro,Ecommerce & Shopping > Classifieds,=,00:08:11,9.38,28.37%,Ecommerce & Shopping
12,blocket.se,Ecommerce & Shopping > Classifieds,1,00:06:56,9.68,25.54%,Ecommerce & Shopping
13,gumtree.com,Ecommerce & Shopping > Classifieds,1,00:06:00,5.84,36.96%,Ecommerce & Shopping
14,milanuncios.com,Ecommerce & Shopping > Classifieds,2,00:06:06,5.1,40.36%,Ecommerce & Shopping
15,kufar.by,Ecommerce & Shopping > Classifieds,=,00:09:30,10.84,27.8%,Ecommerce & Shopping
16,megamarket.ru,Ecommerce & Shopping > Classifieds,2,00:02:24,3.02,57.61%,Ecommerce & Shopping
17,tori.fi,Ecommerce & Shopping > Classifieds,=,00:08:56,14.17,21.85%,Ecommerce & Shopping
18,kupujemprodajem.com,Ecommerce & Shopping > Classifieds,2,00:08:09,22.1,13.88%,Ecommerce & Shopping
19,wannonce.com,Ecommerce & Shopping > Classifieds,1,00:15:07,19.23,20.88%,Ecommerce & Shopping
20,opensooq.com,Ecommerce & Shopping > Classifieds,1,00:03:19,6.33,40.75%,Ecommerce & Shopping
21,bazos.sk,Ecommerce & Shopping > Classifieds,1,00:09:27,15.26,23.39%,Ecommerce & Shopping
22,olx.co.id,Ecommerce & Shopping > Classifieds,3,00:05:33,7.55,37.06%,Ecommerce & Shopping
23,gumtree.com.au,Ecommerce & Shopping > Classifieds,2,00:05:04,6.26,27.66%,Ecommerce & Shopping
24,dba.dk,Ecommerce & Shopping > Classifieds,1,00:05:15,12.41,26.17%,Ecommerce & Shopping
25,2dehands.be,Ecommerce & Shopping > Classifieds,1,00:07:32,8.45,29.07%,Ecommerce & Shopping
26,redbrain.shop,Ecommerce & Shopping > Classifieds,2,00:00:45,1.45,59.53%,Ecommerce & Shopping
27,olx.bg,Ecommerce & Shopping > Classifieds,=,00:04:49,6.95,20.54%,Ecommerce & Shopping
28,thribee.com,Ecommerce & Shopping > Classifieds,1,00:01:56,2.63,56.89%,Ecommerce & Shopping
29,publi24.ro,Ecommerce & Shopping > Classifieds,3,00:07:21,18.97,24.77%,Ecommerce & Shopping
30,yad2.co.il,Ecommerce & Shopping > Classifieds,2,00:08:01,8.83,31.46%,Ecommerce & Shopping
31,jofogas.hu,Ecommerce & Shopping > Classifieds,=,00:06:23,6.87,31.21%,Ecommerce & Shopping
32,oikotie.fi,Ecommerce & Shopping > Classifieds,2,00:04:52,8.44,33.46%,Ecommerce & Shopping
33,olx.com.pk,Ecommerce & Shopping > Classifieds,=,00:04:21,7.41,24.56%,Ecommerce & Shopping
34,vivastreet.co.uk,Ecommerce & Shopping > Classifieds,=,00:10:04,20.56,23.92%,Ecommerce & Shopping
35,skelbiu.lt,Ecommerce & Shopping > Classifieds,1,00:08:45,14.85,21.36%,Ecommerce & Shopping
36,etuovi.com,Ecommerce & Shopping > Classifieds,1,00:06:07,6.17,38.43%,Ecommerce & Shopping
37,olx.kz,Ecommerce & Shopping > Classifieds,=,00:04:27,6.9,45.08%,Ecommerce & Shopping
38,ingatlan.com,Ecommerce & Shopping > Classifieds,1,00:08:42,5.95,27.9%,Ecommerce & Shopping
39,autoplius.lt,Ecommerce & Shopping > Classifieds,1,00:09:29,18.21,19.55%,Ecommerce & Shopping
40,chotot.com,Ecommerce & Shopping > Classifieds,2,00:06:41,8.02,34.42%,Ecommerce & Shopping
41,tutti.ch,Ecommerce & Shopping > Classifieds,1,00:07:02,8.79,28.76%,Ecommerce & Shopping
42,olx.ba,Ecommerce & Shopping > Classifieds,1,00:08:33,8.19,29.05%,Ecommerce & Shopping
43,bazar.bg,Ecommerce & Shopping > Classifieds,=,00:06:41,10.29,26.23%,Ecommerce & Shopping
44,dubizzle.com,Ecommerce & Shopping > Classifieds,=,00:06:45,9.27,26.62%,Ecommerce & Shopping
45,arabam.com,Ecommerce & Shopping > Classifieds,4,00:04:15,6.26,39.31%,Ecommerce & Shopping
46,homegate.ch,Ecommerce & Shopping > Classifieds,1,00:05:37,5.44,36.2%,Ecommerce & Shopping
47,ikman.lk,Ecommerce & Shopping > Classifieds,1,00:07:06,9.23,25.68%,Ecommerce & Shopping
48,58.com,Ecommerce & Shopping > Classifieds,21,00:04:10,6.11,44.24%,Ecommerce & Shopping
49,alo.bg,Ecommerce & Shopping > Classifieds,1,00:08:30,11.4,28.45%,Ecommerce & Shopping
50,quoka.de,Ecommerce & Shopping > Classifieds,2,00:06:29,8.33,30.35%,Ecommerce & Shopping
1,rakuten.com,Ecommerce & Shopping > Coupons and Rebates,=,00:02:18,2.1,53.47%,Ecommerce & Shopping
2,slickdeals.net,Ecommerce & Shopping > Coupons and Rebates,=,00:04:41,4.14,39.3%,Ecommerce & Shopping
3,capitaloneshopping.com,Ecommerce & Shopping > Coupons and Rebates,=,00:01:55,1.87,65.73%,Ecommerce & Shopping
4,provenpixel.com,Ecommerce & Shopping > Coupons and Rebates,3,00:00:14,1.56,76.64%,Ecommerce & Shopping
5,ozbargain.com.au,Ecommerce & Shopping > Coupons and Rebates,1,00:05:30,3.68,36.14%,Ecommerce & Shopping
6,ecnavi.jp,Ecommerce & Shopping > Coupons and Rebates,1,00:09:39,13.29,20.25%,Ecommerce & Shopping
7,914trk.com,Ecommerce & Shopping > Coupons and Rebates,6,00:00:12,1.1,92.5%,Ecommerce & Shopping
8,hotukdeals.com,Ecommerce & Shopping > Coupons and Rebates,2,00:04:10,3.86,30.83%,Ecommerce & Shopping
9,temu.to,Ecommerce & Shopping > Coupons and Rebates,1,00:02:00,1.24,81.8%,Ecommerce & Shopping
10,swagbucks.com,Ecommerce & Shopping > Coupons and Rebates,1,00:05:28,6.92,32.24%,Ecommerce & Shopping
11,groupon.com,Ecommerce & Shopping > Coupons and Rebates,1,00:02:36,3.56,46.5%,Ecommerce & Shopping
12,dealabs.com,Ecommerce & Shopping > Coupons and Rebates,3,00:03:25,3.46,37.11%,Ecommerce & Shopping
13,linksprf.com,Ecommerce & Shopping > Coupons and Rebates,1,00:00:46,1.21,86.18%,Ecommerce & Shopping
14,shiprocket.co,Ecommerce & Shopping > Coupons and Rebates,5,00:01:15,1.78,38.41%,Ecommerce & Shopping
15,promodescuentos.com,Ecommerce & Shopping > Coupons and Rebates,=,00:03:07,3.83,53.44%,Ecommerce & Shopping
16,retailmenot.com,Ecommerce & Shopping > Coupons and Rebates,2,00:01:21,3.08,34.95%,Ecommerce & Shopping
17,woot.com,Ecommerce & Shopping > Coupons and Rebates,1,00:02:52,5.1,36.67%,Ecommerce & Shopping
18,chollometro.com,Ecommerce & Shopping > Coupons and Rebates,1,00:04:45,3.27,46.38%,Ecommerce & Shopping
19,phonepe.com,Ecommerce & Shopping > Coupons and Rebates,2,00:03:29,3.03,57.56%,Ecommerce & Shopping
20,couponfollow.com,Ecommerce & Shopping > Coupons and Rebates,2,00:01:36,4.36,21.59%,Ecommerce & Shopping
21,coupert.com,Ecommerce & Shopping > Coupons and Rebates,2,00:01:47,2.42,43.3%,Ecommerce & Shopping
22,joinhoney.com,Ecommerce & Shopping > Coupons and Rebates,6,00:01:09,2.31,52.62%,Ecommerce & Shopping
23,meliuz.com.br,Ecommerce & Shopping > Coupons and Rebates,3,00:02:09,2.12,34.4%,Ecommerce & Shopping
24,redflagdeals.com,Ecommerce & Shopping > Coupons and Rebates,=,00:05:15,4.49,37.7%,Ecommerce & Shopping
25,discounthero.org,Ecommerce & Shopping > Coupons and Rebates,5,00:00:27,1.11,90.36%,Ecommerce & Shopping
26,pxf.io,Ecommerce & Shopping > Coupons and Rebates,6,00:00:21,1.31,66.26%,Ecommerce & Shopping
27,mypoints.com,Ecommerce & Shopping > Coupons and Rebates,2,00:05:42,5.91,24.3%,Ecommerce & Shopping
28,bradsdeals.com,Ecommerce & Shopping > Coupons and Rebates,=,00:02:43,2.76,44.07%,Ecommerce & Shopping
29,promokodi.net,Ecommerce & Shopping > Coupons and Rebates,=,00:00:56,2.78,19.44%,Ecommerce & Shopping
30,brandreward.com,Ecommerce & Shopping > Coupons and Rebates,3,00:00:31,1.37,53.02%,Ecommerce & Shopping
31,tataneu.com,Ecommerce & Shopping > Coupons and Rebates,204,00:03:01,3.6,49.52%,Ecommerce & Shopping
32,coupons.com,Ecommerce & Shopping > Coupons and Rebates,=,00:01:49,3.83,39.15%,Ecommerce & Shopping
33,shoptin.de,Ecommerce & Shopping > Coupons and Rebates,=,00:00:01,1.01,99.69%,Ecommerce & Shopping
34,dealnews.com,Ecommerce & Shopping > Coupons and Rebates,3,00:02:01,1.92,59.13%,Ecommerce & Shopping
35,flybuys.com.au,Ecommerce & Shopping > Coupons and Rebates,1,00:01:46,4.45,24.57%,Ecommerce & Shopping
36,euqueronestle.com.br,Ecommerce & Shopping > Coupons and Rebates,85,00:01:39,1.85,56.02%,Ecommerce & Shopping
37,99taxis.mobi,Ecommerce & Shopping > Coupons and Rebates,10,00:00:56,1.48,27.3%,Ecommerce & Shopping
38,wowcher.co.uk,Ecommerce & Shopping > Coupons and Rebates,3,00:03:10,3.59,40.81%,Ecommerce & Shopping
39,worthepenny.com,Ecommerce & Shopping > Coupons and Rebates,=,00:02:06,6.55,23.09%,Ecommerce & Shopping
40,cashkaro.com,Ecommerce & Shopping > Coupons and Rebates,2,00:03:35,2.63,41.09%,Ecommerce & Shopping
41,newprogrammatic.click,Ecommerce & Shopping > Coupons and Rebates,5,00:00:02,1.05,96.58%,Ecommerce & Shopping
42,shadowfax.in,Ecommerce & Shopping > Coupons and Rebates,8,00:08:23,7.9,46.37%,Ecommerce & Shopping
43,bluelightcard.co.uk,Ecommerce & Shopping > Coupons and Rebates,6,00:02:52,3.15,41.91%,Ecommerce & Shopping
44,pepper.com,Ecommerce & Shopping > Coupons and Rebates,3,00:03:53,3.51,39.22%,Ecommerce & Shopping
45,kaufda.de,Ecommerce & Shopping > Coupons and Rebates,1,00:02:51,8.89,48.32%,Ecommerce & Shopping
46,slevomat.cz,Ecommerce & Shopping > Coupons and Rebates,6,00:03:35,5.08,35.15%,Ecommerce & Shopping
47,thekrazycouponlady.com,Ecommerce & Shopping > Coupons and Rebates,5,00:02:33,2.29,54.28%,Ecommerce & Shopping
48,vouchercodes.co.uk,Ecommerce & Shopping > Coupons and Rebates,3,00:01:22,2.65,32.89%,Ecommerce & Shopping
49,dealmoon.com,Ecommerce & Shopping > Coupons and Rebates,1,00:03:29,3.24,45.51%,Ecommerce & Shopping
50,hotdeals.com,Ecommerce & Shopping > Coupons and Rebates,3,00:00:51,3.46,25.13%,Ecommerce & Shopping
1,coupang.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:03:11,6.08,18.91%,Ecommerce & Shopping
2,shopping.yahoo.co.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:03:44,3.8,42.96%,Ecommerce & Shopping
3,kleinanzeigen.de,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:07:20,9.55,29.22%,Ecommerce & Shopping
4,shopping.naver.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:06:22,6.28,34.01%,Ecommerce & Shopping
5,ssg.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:02:26,3.12,59.49%,Ecommerce & Shopping
6,alibaba-inc.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:07:16,7.4,10.68%,Ecommerce & Shopping
7,my-best.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:01:48,1.68,64.83%,Ecommerce & Shopping
8,poshmark.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:04:39,6.08,42.58%,Ecommerce & Shopping
9,gmarket.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:44,5.77,19.34%,Ecommerce & Shopping
10,meesho.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:05:11,7.06,47.35%,Ecommerce & Shopping
11,11st.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:58,4.62,24.37%,Ecommerce & Shopping
12,valuecommerce.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:01:28,2.19,30.97%,Ecommerce & Shopping
13,markt.de,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:10:27,14.37,19.95%,Ecommerce & Shopping
14,e-himart.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:00:56,1.91,51.42%,Ecommerce & Shopping
15,cjlogistics.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:29,2.26,48.81%,Ecommerce & Shopping
16,lotteon.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:02:18,2.74,66.14%,Ecommerce & Shopping
17,litres.ru,Ecommerce & Shopping > Ecommerce and Shopping - Other,3,00:03:57,3.35,42.92%,Ecommerce & Shopping
18,boots.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:03:53,4.1,47.59%,Ecommerce & Shopping
19,michaels.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:04:15,4.64,45.06%,Ecommerce & Shopping
20,papy.co.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:08:31,6.65,29.68%,Ecommerce & Shopping
21,l-tike.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:04:50,6.67,42.66%,Ecommerce & Shopping
22,amazon.se,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:01:30,5.38,60.64%,Ecommerce & Shopping
23,oliveyoung.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:02:02,4.64,46.72%,Ecommerce & Shopping
24,fnac.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:02:59,3.91,45.25%,Ecommerce & Shopping
25,n11.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,6,00:03:17,3.77,33.42%,Ecommerce & Shopping
26,wallapop.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:07:06,8.02,32.71%,Ecommerce & Shopping
27,falabella.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,4,00:04:46,4.72,39.8%,Ecommerce & Shopping
28,ponta.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:03:22,6.78,19.79%,Ecommerce & Shopping
29,kelkoogroup.net,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:00:32,1.49,60.93%,Ecommerce & Shopping
30,qvc.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:05:10,5.23,47.39%,Ecommerce & Shopping
31,alza.cz,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:04:44,6.04,30.26%,Ecommerce & Shopping
32,muji.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:01:32,3.8,38.62%,Ecommerce & Shopping
33,kt.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,6,00:02:56,3.56,53.03%,Ecommerce & Shopping
34,empik.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:02:33,3.75,31.46%,Ecommerce & Shopping
35,pepper.pl,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:05:00,3.91,33.4%,Ecommerce & Shopping
36,shufoo.net,Ecommerce & Shopping > Ecommerce and Shopping - Other,6,00:02:11,2.59,49.39%,Ecommerce & Shopping
37,daraz.pk,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:03:41,5.09,21.03%,Ecommerce & Shopping
38,barnesandnoble.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:02:54,4.23,47.09%,Ecommerce & Shopping
39,wal-mart.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:03:16,4.8,55.07%,Ecommerce & Shopping
40,p-bandai.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,14,00:04:03,5.06,41.62%,Ecommerce & Shopping
41,amazon.pl,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:19,4.81,49.37%,Ecommerce & Shopping
42,kyobobook.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:04:26,6.31,39.78%,Ecommerce & Shopping
43,yes24.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,8,00:03:37,5.58,37.13%,Ecommerce & Shopping
44,adcell.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:04:24,1.98,58.79%,Ecommerce & Shopping
45,homeplus.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:02:21,5.14,28.24%,Ecommerce & Shopping
46,jmty.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:06:10,7.17,35.61%,Ecommerce & Shopping
47,meshok.net,Ecommerce & Shopping > Ecommerce and Shopping - Other,3,00:09:22,11.74,32.87%,Ecommerce & Shopping
48,ohou.se,Ecommerce & Shopping > Ecommerce and Shopping - Other,41,00:04:09,5.23,41.83%,Ecommerce & Shopping
49,therealreal.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,3,00:06:18,10.2,39.05%,Ecommerce & Shopping
50,allegrolokalnie.pl,Ecommerce & Shopping > Ecommerce and Shopping - Other,4,00:08:32,6.77,23.73%,Ecommerce & Shopping
1,amazon.com,Ecommerce & Shopping > Marketplace,=,00:05:51,8.94,33.37%,Ecommerce & Shopping
2,temu.com,Ecommerce & Shopping > Marketplace,=,00:04:01,4.9,53.2%,Ecommerce & Shopping
3,aliexpress.com,Ecommerce & Shopping > Marketplace,=,00:04:43,4.66,39.63%,Ecommerce & Shopping
4,ebay.com,Ecommerce & Shopping > Marketplace,=,00:06:25,6.93,38.68%,Ecommerce & Shopping
5,amazon.co.jp,Ecommerce & Shopping > Marketplace,=,00:06:57,7.4,37%,Ecommerce & Shopping
6,rakuten.co.jp,Ecommerce & Shopping > Marketplace,=,00:06:27,7.34,36.83%,Ecommerce & Shopping
7,ozon.ru,Ecommerce & Shopping > Marketplace,2,00:09:17,11.82,25.65%,Ecommerce & Shopping
8,walmart.com,Ecommerce & Shopping > Marketplace,1,00:04:21,4.94,49.33%,Ecommerce & Shopping
9,amazon.in,Ecommerce & Shopping > Marketplace,1,00:04:04,7.07,38.91%,Ecommerce & Shopping
10,amazon.de,Ecommerce & Shopping > Marketplace,1,00:06:13,9.04,31.77%,Ecommerce & Shopping
11,etsy.com,Ecommerce & Shopping > Marketplace,1,00:05:09,6.26,41.14%,Ecommerce & Shopping
12,amazon.co.uk,Ecommerce & Shopping > Marketplace,=,00:05:24,7.63,32.65%,Ecommerce & Shopping
13,wildberries.ru,Ecommerce & Shopping > Marketplace,=,00:10:52,13.08,26.87%,Ecommerce & Shopping
14,mercadolivre.com.br,Ecommerce & Shopping > Marketplace,=,00:07:45,8.35,37.19%,Ecommerce & Shopping
15,ebay.co.uk,Ecommerce & Shopping > Marketplace,1,00:07:55,8.44,30.14%,Ecommerce & Shopping
16,amazon.it,Ecommerce & Shopping > Marketplace,1,00:04:58,8.4,25.49%,Ecommerce & Shopping
17,taobao.com,Ecommerce & Shopping > Marketplace,6,00:07:45,11.73,28.43%,Ecommerce & Shopping
18,amazon.fr,Ecommerce & Shopping > Marketplace,=,00:04:56,8.15,23.72%,Ecommerce & Shopping
19,allegro.pl,Ecommerce & Shopping > Marketplace,2,00:07:10,9.53,24.62%,Ecommerce & Shopping
20,amazon.com.br,Ecommerce & Shopping > Marketplace,=,00:03:32,5.57,40.71%,Ecommerce & Shopping
21,amazon.ca,Ecommerce & Shopping > Marketplace,4,00:05:12,9.71,28.15%,Ecommerce & Shopping
22,flipkart.com,Ecommerce & Shopping > Marketplace,3,00:04:59,6.37,50.67%,Ecommerce & Shopping
23,shopee.vn,Ecommerce & Shopping > Marketplace,1,00:04:44,6.25,28.31%,Ecommerce & Shopping
24,target.com,Ecommerce & Shopping > Marketplace,2,00:03:30,4.88,40.76%,Ecommerce & Shopping
25,market.yandex.ru,Ecommerce & Shopping > Marketplace,1,00:06:06,9.33,22.3%,Ecommerce & Shopping
